epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0724,3.52729,5.541,4.27056,0,0,0,0,3.37964,5.97079,4.15882,0,0,0
2,17.6995,3.23502,5.62503,4.2552,0,0,0,0,3.37943,5.97075,4.15877,1.18705e-06,1.18705e-06,1.18705e-06
3,22.6234,3.08832,5.54499,4.27221,0,0,0,0,3.3792,5.97077,4.15871,2.36822e-06,2.36822e-06,2.36822e-06
4,26.723,3.15077,5.60845,4.36118,0,0,0,0,3.37898,5.97062,4.15864,3.54349e-06,3.54349e-06,3.54349e-06
5,31.576,3.37618,5.41537,4.31831,0,0,0,0,3.37875,5.97054,4.15857,4.71288e-06,4.71288e-06,4.71288e-06
6,36.294,2.77638,5.29876,4.25523,0,0,0,0,3.37851,5.97065,4.15849,5.87637e-06,5.87637e-06,5.87637e-06
7,41.2646,2.91491,5.72226,4.36447,0,0,0,0,3.3783,5.97055,4.15842,7.03397e-06,7.03397e-06,7.03397e-06
8,45.844,3.5157,5.69086,4.28784,0,0,0,0,3.37807,5.97063,4.15835,8.18568e-06,8.18568e-06,8.18568e-06
9,50.8792,3.09296,5.55682,4.22551,0,0,0,0,3.37781,5.97051,4.15827,9.3315e-06,9.3315e-06,9.3315e-06
10,55.91,3.4838,5.5032,4.23276,0,0,0,0,3.37758,5.97066,4.1582,1.04714e-05,1.04714e-05,1.04714e-05
11,60.4058,3.38125,5.7287,4.23856,0,0,0,0,3.37733,5.97072,4.15811,1.16055e-05,1.16055e-05,1.16055e-05
12,65.1467,3.15354,5.67757,4.45451,0,0,0,0,3.37707,5.97061,4.15802,1.27336e-05,1.27336e-05,1.27336e-05
13,69.7731,3.18163,5.63208,4.19606,0,0,0,0,3.37683,5.97059,4.15793,1.38559e-05,1.38559e-05,1.38559e-05
14,75.064,2.78837,5.47352,4.23171,0,0,0,0,3.37659,5.9705,4.15788,1.49723e-05,1.49723e-05,1.49723e-05
15,80.1358,3.15294,5.73777,4.28776,0,0,0,0,3.37634,5.97043,4.15781,1.60827e-05,1.60827e-05,1.60827e-05
16,85.3704,3.48636,5.46736,4.29562,0,0,0,0,3.37608,5.97046,4.15774,1.71873e-05,1.71873e-05,1.71873e-05
17,91.332,3.18009,5.80382,4.34055,0,0,0,0,3.37589,5.97057,4.1577,1.8286e-05,1.8286e-05,1.8286e-05
18,96.1367,3.12719,5.72754,4.20006,0,0,0,0,3.37566,5.97054,4.15767,1.93788e-05,1.93788e-05,1.93788e-05
19,102.725,3.35587,5.51686,4.23735,0,0,0,0,3.37543,5.97051,4.15765,2.04657e-05,2.04657e-05,2.04657e-05
20,109.017,3.31889,5.73745,4.2276,0,0,0,0,3.37522,5.97047,4.15762,2.15468e-05,2.15468e-05,2.15468e-05
21,113.582,3.01082,5.50926,4.3309,0,0,0,0,3.37502,5.97031,4.15761,2.26219e-05,2.26219e-05,2.26219e-05
22,117.988,2.93837,5.50251,4.22001,0,0,0,0,3.37482,5.97027,4.1576,2.36911e-05,2.36911e-05,2.36911e-05
23,122.598,3.09552,5.56221,4.18228,0,0,0,0,3.37463,5.97038,4.15757,2.47545e-05,2.47545e-05,2.47545e-05
24,126.906,3.33267,5.29533,4.1967,0,0,0,0,3.37441,5.97029,4.15755,2.5812e-05,2.5812e-05,2.5812e-05
25,131.258,3.34039,5.4143,4.30443,0,0,0,0,3.37422,5.97034,4.15751,2.68635e-05,2.68635e-05,2.68635e-05
26,135.685,3.39861,5.55513,4.24658,0,0,0,0,3.37403,5.97023,4.1575,2.79092e-05,2.79092e-05,2.79092e-05
27,140.352,3.09885,5.49372,4.2352,0,0,0,0,3.37381,5.97025,4.15747,2.8949e-05,2.8949e-05,2.8949e-05
28,146.354,3.38508,5.52952,4.24819,0,0,0,0,3.37361,5.97036,4.15744,2.99829e-05,2.99829e-05,2.99829e-05
29,151.882,3.12179,5.65246,4.23538,0,0,0,0,3.37337,5.97039,4.15742,3.10109e-05,3.10109e-05,3.10109e-05
30,157.153,3.25105,5.46955,4.19576,0,0,0,0,3.37314,5.9705,4.15753,3.2033e-05,3.2033e-05,3.2033e-05
31,162.407,3.24935,5.55769,4.20383,0,0,0,0,3.37284,5.9705,4.1575,3.30493e-05,3.30493e-05,3.30493e-05
32,167.779,2.99798,5.66021,4.2361,0,0,0,0,3.37256,5.97051,4.15747,3.40596e-05,3.40596e-05,3.40596e-05
33,173.29,2.81784,5.63773,4.36258,0,0,0,0,3.37229,5.97054,4.15736,3.50641e-05,3.50641e-05,3.50641e-05
